Course,Title,Credits,Department,Subject,Instructional Level,Instructional Model,Exam Type,Grade Avg Factor,Repeat if passed,Variable Credit,Ends In Regents Exam,Show On Report,Show Exam,Is Averaged,Has grades,Grade is allowed,Grade appears on Report Card,Grade is averaged
AAF11,test code,0.50,Visual Arts,Stage Design,H,,Normal,1.00,,,,,,,,,,
AAFAA,Test,1.00,Visual Arts,Stage Design,H,,Normal,1.00,,,,,,,,,,
ADF21HAT,3D Design AH,1.00,Visual Arts,Three-Dimensional Art,H,Honors level courses,Normal,1.05,,,,,,Yes,,Yes,Yes,Yes
ADF21HHT,Sculp Hum AH,0.50,Visual Arts,Three-Dimensional Art,H,Honors level courses,Normal,1.05,,,,,,Yes,,Yes,Yes,Yes
ADF21TA,3D Design A,1.00,Visual Arts,Three-Dimensional Art,H,Courses intended to be part of a CTE sequence of study,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ADF21TAT,3D Design A,0.50,Visual Arts,Three-Dimensional Art,H,Courses intended to be part of a CTE sequence of study,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ADF21TH,Sculp Hum A,0.50,Visual Arts,Three-Dimensional Art,H,Courses intended to be part of a CTE sequence of study,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ADF21THH,Sculp Hum AH,0.50,Visual Arts,Three-Dimensional Art,H,Courses intended to be part of a CTE sequence of study,Normal,1.05,,,,,,Yes,,Yes,Yes,Yes
ADF22HHT,Sculp Hum BH,0.50,Visual Arts,Three-Dimensional Art,H,Honors level courses,Normal,1.05,,,,,,Yes,,Yes,Yes,Yes
ADF22TAT,3D Design B,0.50,Visual Arts,Three-Dimensional Art,H,Courses intended to be part of a CTE sequence of study,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ADF22THH,Sculp Hum B,0.50,Visual Arts,Three-Dimensional Art,H,Courses intended to be part of a CTE sequence of study,Normal,1.05,,,,,,Yes,,Yes,Yes,Yes
ADS11TAT,3D Design,1.00,Visual Arts,Three-Dimensional Art,H,Courses intended to be part of a CTE sequence of study,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
AGF21HAT,2D Design AH,0.50,Visual Arts,Graphic Design,H,Honors level courses,Normal,1.05,,,,,,Yes,,Yes,Yes,Yes
AGF21TA,2D Design A,0.50,Visual Arts,Graphic Design,H,Courses intended to be part of a CTE sequence of study,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
AGF21TAH,2D Design AH,0.50,Visual Arts,Graphic Design,H,Courses intended to be part of a CTE sequence of study,Normal,1.05,,,,,,Yes,,Yes,Yes,Yes
AGF21TAT,2D Design A,0.50,Visual Arts,Graphic Design,H,Courses intended to be part of a CTE sequence of study,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
AGF22HAT,2D Design BH,0.50,Visual Arts,Graphic Design,H,Honors level courses,Normal,1.05,,,,,,Yes,,Yes,Yes,Yes
AGF22TAH,2D Design BH,0.50,Visual Arts,Graphic Design,H,Courses intended to be part of a CTE sequence of study,Normal,1.05,,,,,,Yes,,Yes,Yes,Yes
AGF22TAT,2D Design B,0.50,Visual Arts,Graphic Design,H,Courses intended to be part of a CTE sequence of study,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
AGS11TAT,2D Design,1.00,Visual Arts,Graphic Design,H,Courses intended to be part of a CTE sequence of study,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
AHF41QS,Art Hist 1A,0.50,Visual Arts,Art History,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ANF41TAX,AP Stud Art 1A,0.50,Visual Arts,Studio Art,H,Courses intended to be part of a CTE sequence of study,Normal,1.05,,,,,,Yes,,Yes,Yes,Yes
ANF41XAT,AP Stud Art 1A,0.50,Visual Arts,Studio Art,H,Advanced Placement courses,Normal,1.10,,,,,,Yes,,Yes,Yes,Yes
ANF42XAT,AP Stud Art 1B,0.50,Visual Arts,Studio Art,H,Advanced Placement courses,Normal,1.10,,,,,,Yes,,Yes,Yes,Yes
ANF43XAT,AP Stud Art 2A,0.50,Visual Arts,Studio Art,H,Advanced Placement courses,Normal,1.10,,,,,,Yes,,Yes,Yes,Yes
ANF44XAT,AP Stud Art 2B,0.50,Visual Arts,Studio Art,H,Advanced Placement courses,Normal,1.10,,,,,,Yes,,Yes,Yes,Yes
AQF21QR,Art CR A,0.00,Visual Arts,Other Visual Art,H,,Normal,1.00,,,,,,,,,,
AQF21QS,Art IS A,0.50,Visual Arts,Other Visual Art,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
AQF41HGD,Wood Desg 1AH,0.50,Visual Arts,Other Visual Art,H,Honors level courses,Normal,1.05,,,,,,Yes,,Yes,Yes,Yes
AQF41HQP,Wood Prod 1AH,0.50,Visual Arts,Other Visual Art,H,Honors level courses,Normal,1.05,,,,,,Yes,,Yes,Yes,Yes
AQF41HTD,Wood Desg 1AH,0.50,Visual Arts,Other Visual Art,H,Honors level courses,Normal,1.05,,,,,,Yes,,Yes,Yes,Yes
AQF41Q2Y,Art TA 1A,0.25,Visual Arts,Other Visual Art,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
AQF41Q3Y,Art TA 1A,0.25,Visual Arts,Other Visual Art,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
AQF41QGD,Wood Desg 1A,0.50,Visual Arts,Other Visual Art,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
AQF41QJ,Art TA 1A,0.50,Visual Arts,Other Visual Art,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
AQF41QQD,Wood Desg 1A,0.50,Visual Arts,Other Visual Art,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
AQF41QQP,Wood Prod 1A,0.50,Visual Arts,Other Visual Art,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
AQF41QQY,Art TA 1A,0.50,Visual Arts,Other Visual Art,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
AQF41QR,Art CR 1A,0.00,Visual Arts,Other Visual Art,H,,Normal,1.00,,,,,,,,,,
