Course,Title,Credits,Department,Subject,Instructional Level,Instructional Model,Exam Type,Grade Avg Factor,Repeat if passed,Variable Credit,Ends In Regents Exam,Show On Report,Show Exam,Is Averaged,Has grades,Grade is allowed,Grade appears on Report Card,Grade is averaged
ABF21TA,Car Vis Art A,0.50,Visual Arts,Art Management / Business,H,Courses intended to be part of a CTE sequence of study,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ABF22TA,Car Vis Art B,0.50,Visual Arts,Art Management / Business,H,Courses intended to be part of a CTE sequence of study,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ABF41,Ind Art Des 1A,0.50,Visual Arts,Art Management / Business,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ABF41QT,Ind Art Des 1A,0.50,Visual Arts,Art Management / Business,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ABF42,Ind Art Des 1B,0.50,Visual Arts,Art Management / Business,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ABF42QT,Ind Art Des 1B,0.50,Visual Arts,Art Management / Business,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ABF43,Ind Art Des 2A,0.50,Visual Arts,Art Management / Business,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ABF43QT,Ind Art Des 2A,0.50,Visual Arts,Art Management / Business,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ABF44,Ind Art Des 2B,0.50,Visual Arts,Art Management / Business,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ABF44QT,Ind Art Des 2B,0.50,Visual Arts,Art Management / Business,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ABS11TA,Car Vis Art,1.00,Visual Arts,Art Management / Business,H,Courses intended to be part of a CTE sequence of study,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
ABS21,Ind Art Des 1,1.00,Visual Arts,Art Management / Business,H,,Normal,1.00,,,,,,Yes,,Yes,Yes,Yes
